model,scenario_id,tier,variant,feasible,success,booked,over_budget,wrong_trip,gave_final_answer,llm_calls,tool_calls,tool_errors,parse_failures,gen_tokens,wall_time_s,total_cost,budget,cost_optimality
Falcon3-3B,ber-lis-4n-generous,generous,noisy,True,False,False,False,False,True,1,0,0,0,111,2.43,,840,
Falcon3-3B,mun-bar-3n-tight,tight,clean,True,False,False,False,False,True,1,0,0,0,62,1.48,,180,
Falcon3-3B,mun-bar-3n-tight,tight,paraphrase,True,False,False,False,False,True,4,2,0,1,434,8.83,,180,
Falcon3-3B,mun-bar-3n-tight,tight,noisy,True,False,False,False,False,True,2,1,1,0,163,3.22,,180,
Falcon3-3B,mun-bar-3n-medium,medium,clean,True,False,False,False,False,True,1,0,0,0,57,0.89,,240,
Falcon3-3B,mun-bar-3n-medium,medium,paraphrase,True,False,True,True,False,True,4,3,0,0,400,8.45,909.0,240,
Falcon3-3B,mun-bar-3n-medium,medium,noisy,True,False,False,False,False,True,3,2,1,0,299,5.39,,240,
Falcon3-3B,ham-rom-5n-medium,medium,clean,True,False,False,False,False,True,1,0,0,0,146,2.83,,540,
Falcon3-3B,ham-rom-5n-medium,medium,paraphrase,True,False,False,False,False,True,1,0,0,0,25,0.45,,540,
Falcon3-3B,ham-rom-5n-medium,medium,noisy,True,False,False,False,False,True,1,0,0,0,124,2.09,,540,
Falcon3-3B,ham-rom-5n-generous,generous,clean,True,False,False,False,False,True,1,0,0,0,81,1.36,,900,
Falcon3-3B,ham-rom-5n-generous,generous,paraphrase,True,False,False,False,False,True,1,0,0,0,25,0.54,,900,
Falcon3-3B,ham-rom-5n-generous,generous,noisy,True,False,False,False,False,True,1,0,0,0,115,2.4,,900,
Falcon3-3B,ber-lis-4n-infeasible,infeasible,clean,False,True,False,False,False,True,1,0,0,0,65,1.55,,170,
Falcon3-3B,ber-lis-4n-infeasible,infeasible,paraphrase,False,True,False,False,False,True,1,0,0,0,23,0.45,,170,
Falcon3-3B,ber-lis-4n-infeasible,infeasible,noisy,False,False,False,False,False,False,8,8,0,0,1124,34.4,,170,
SmolLM2-1.7B,ber-lis-4n-tight,tight,clean,True,False,False,False,False,True,2,1,0,0,609,8.18,,380,
SmolLM2-1.7B,ber-lis-4n-tight,tight,paraphrase,True,False,False,False,False,False,8,8,8,0,1200,15.9,,380,
SmolLM2-1.7B,ber-lis-4n-tight,tight,noisy,True,False,False,False,False,False,8,8,8,0,2498,35.97,,380,
SmolLM2-1.7B,ber-lis-4n-generous,generous,clean,True,False,False,False,False,False,8,8,8,0,2482,36.76,,840,
SmolLM2-1.7B,ber-lis-4n-generous,generous,paraphrase,True,False,False,False,False,False,8,8,8,0,1303,18.0,,840,
SmolLM2-1.7B,ber-lis-4n-generous,generous,noisy,True,False,False,False,False,False,8,8,0,0,3200,50.17,,840,
SmolLM2-1.7B,mun-bar-3n-tight,tight,clean,True,False,False,False,False,False,8,4,0,4,3200,48.67,,180,
SmolLM2-1.7B,mun-bar-3n-tight,tight,paraphrase,True,False,False,False,False,False,8,8,8,0,1097,15.35,,180,
SmolLM2-1.7B,mun-bar-3n-tight,tight,noisy,True,False,False,False,False,False,8,8,8,0,2269,31.57,,180,
SmolLM2-1.7B,mun-bar-3n-medium,medium,clean,True,False,False,False,False,False,8,4,0,4,3200,48.42,,240,
SmolLM2-1.7B,mun-bar-3n-medium,medium,paraphrase,True,False,False,False,False,False,8,8,8,0,2027,28.62,,240,
SmolLM2-1.7B,mun-bar-3n-medium,medium,noisy,True,False,False,False,False,True,2,1,0,0,435,5.26,,240,
SmolLM2-1.7B,ham-rom-5n-medium,medium,clean,True,False,False,False,False,False,8,8,4,0,2924,42.5,,540,
SmolLM2-1.7B,ham-rom-5n-medium,medium,paraphrase,True,False,False,False,False,False,8,8,8,0,1209,17.07,,540,
SmolLM2-1.7B,ham-rom-5n-medium,medium,noisy,True,False,False,False,False,False,8,8,0,0,2465,37.84,,540,
SmolLM2-1.7B,ham-rom-5n-generous,generous,clean,True,False,False,False,False,False,8,4,4,4,617,9.14,,900,
SmolLM2-1.7B,ham-rom-5n-generous,generous,paraphrase,True,False,False,False,False,False,8,8,8,0,1200,16.37,,900,
SmolLM2-1.7B,ham-rom-5n-generous,generous,noisy,True,False,False,False,False,False,8,8,8,0,1682,22.89,,900,
SmolLM2-1.7B,ber-lis-4n-infeasible,infeasible,clean,False,False,False,False,False,False,8,8,8,0,2482,34.53,,170,
SmolLM2-1.7B,ber-lis-4n-infeasible,infeasible,paraphrase,False,False,False,False,False,False,8,8,8,0,1173,16.49,,170,
SmolLM2-1.7B,ber-lis-4n-infeasible,infeasible,noisy,False,True,False,False,False,True,4,2,1,1,455,6.35,,170,
